Make,Part Code,Sr.No -primary,Item ,Location,purchased date,item dispatch date,purchased from,org id,status,slip
Cisco,CISCO2911/K9 ,FGL1625109R,Router,Nehru Place-Delhi,,,,,woking,
Cisco,Cisco 1941/K9,FGL163211UQ,Router,Nehru Place-Delhi,,,,,not working,
Cisco,Cisco 1941/K9,FGL180322LE,Router,Nehru Place-Delhi,,,,,,"jpg, pdf, png, jpef"
Cisco,Cisco 1941/K9,FGL1709219Z,Router,Nehru Place-Delhi,,,,,,
Cisco,Cisco 1941/K9,FGL152920BK,Router,Nehru Place-Delhi,,,,,,
Cisco,Cisco 1941/K9,FGL162025H3,Router,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960G-48TC-L ,FOC1428W1S8,Switch,Nehru Place-Delhi,,,,foreign key,,
Cisco,WS-C2960G-48TC-L ,FOC1541W3FJ,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960G-48TC-L ,FOC1504V206,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960G-48TC-L ,FOC1524X1BA,Switch,Nehru Place-Delhi,,,,,,
Cisco,Cisco Router 1921,FHL223081JL,Router,Nehru Place-Delhi,,,,,,
Cisco,Router 1841, FHK113954D3,Router,Nehru Place-Delhi,,,,,,
Cisco,CISCO1811/K9 ,FGL170820R8,Router,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960-48TT-S,FOC1401W2GA,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960-48TT-S,FOC1401W2HY,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C2960-48TT-S,FOC1401Y2RA,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C3750G-24TS-E,FD01224Y5YB,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-C3750G-24TS-E,FDO1228Y1PP,Switch,Nehru Place-Delhi,,,,,,
Cisco,CISCO2921/K9  ,FGL1642124Z,Router,Nehru Place-Delhi,,,,,,
Cisco,WS-C4948 ,FOX1410G1D4,Router,Nehru Place-Delhi,,,,,,
Cisco,CISCO2901/K9  ,FGL211510U2,Router,Nehru Place-Delhi,,,,,,
Cisco,CISCO2901/K9  ,FGL203924TV,Router,Nehru Place-Delhi,,,,,,
Cisco,CISCO2811         ,FHK1445F39K,Router,Nehru Place-Delhi,,,,,,
Cisco,CISCO2811         ,FTX1106A1TL,Router,Nehru Place-Delhi,,,,,,
Cisco,WS-C3750G-48TS-S,FOC1137Y353,Switch,Nehru Place-Delhi,,,,,,
Cisco,WS-3560X-24T-S,FDO1525K0D5,Switch,Nehru Place-Delhi,,,,,,
Cisco,Cisco Router 4431,FGL2422LKJL,Router,Nehru Place-Delhi,,,,,,
Cisco,EHWIC-1GE-SFP-CU V01,FOC202067KD,EHWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC140270MX,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC15221QFR,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC13244Q9Z,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC13500EMY,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC13241ECV,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC13520LEE,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC13241EDQ,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V01,FOC150467WX,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V02,FOC15380JJ5,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,HWIC-1FE-V02,FOC16247EZT,HWIC Card,Nehru Place-Delhi,,,,,,
Cisco,WIC-2T Card ,800-03181-03-B0*,2T Card,Nehru Place-Delhi,,,,,,
Cisco,WIC-1T Card,800-01514-02-D0*,1T Card,Nehru Place-Delhi,,,,,,
Cisco,WIC-1B-S/T-V3 V01,FOC12141301, ISD BRN Card,Nehru Place-Delhi,,,,,,
Cisco,NIM-1GE-CU-SFP-V01,FOC21105YRA,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,NIM-1GE-CU-SFP-V01,FOC21115BAC,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,C3850-NM-4-AG-V01,F0C221062JB,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,PWR-C1-350WAC-VO2,LIT22079LEM,POWER SUPPLY,Nehru Place-Delhi,,,,,,
Cisco,PWR-C1-350WAC-VO2,LIT22079LGM,POWER SUPPLY,Nehru Place-Delhi,,,,,,
Cisco,NIM-2GE-CU-SFP,FOC24383MJP,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,NIM-2GE-CU-SFP,FOC24383M51,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,NIM-2GE-CU-SFP,FOC24383MRF,NIM Card,Nehru Place-Delhi,,,,,,
Cisco,C9300-NM-8X- V02,FOC23027K57,NM Card,Nehru Place-Delhi,,,,,,
Cisco,C9300-NM-8X- V02,FOC23304ADU,NM Card,Nehru Place-Delhi,,,,,,
D-Link,DES-F1006P-E,RV6PEKC000929,Switch,Nehru Place-Delhi,,,,,,
TelTonika,TSW200000010C,1123433694,Switch,Nehru Place-Delhi,,,,,,
TelTonika,TSW200000010C,1123433780,Switch,Nehru Place-Delhi,,,,,,
TelTonika,RUT300000000,1122929873,Router,Nehru Place-Delhi,,,,,,
TelTonika,RUTX10000000,1123057649,Router,Nehru Place-Delhi,,,,,,
